-768 -2432 -2368    -896 -2432 -2176    -832 -2368 -1984    -832 -2112 -1856    -960 -1920 -1792    -1088 -1664 -1792    -1216 -1472 -1600    -1280 -1408 -1280    
-1344 -1280 -1152    -1536 -1280 -960    -1600 -1152 -768    -1728 -1216 -768    -1792 -1152 -704    -1920 -1024 -640    -1920 -896 -320    -1920 -832 -64    
-1920 -768 64    -1792 -640 64    -1600 -640 192    -1664 -512 128    -1792 -512 128    -1920 -576 192    -1792 -576 512    -1920 -384 576    
-1920 -192 576    -1984 0 768    -1984 128 896    -1984 64 1216    -1920 192 1344    -1920 256 1472    -2112 384 1856    -2048 704 1728    
-2048 832 1792    -2176 1088 1856    -1984 1216 1920    -1920 1344 1984    -1792 1344 2112    -1664 1344 2368    -1600 1088 2304    -1664 896 2304    
-1920 896 2368    -2112 768 2432    -2240 832 2624    -2560 704 2880    -2752 704 3008    -3072 1344 2816    -3392 2176 2688    -3520 2240 2624    
-3712 1984 2752    -3712 1600 2624    -3712 1152 1600    -4032 832 1152    -4416 896 832    -4480 896 704    -4416 768 896    -4352 896 1280    
-4224 960 1536    -4160 1344 1728    -4288 1472 1792    -4224 1600 1856    -4288 1792 1792    -4288 1856 1600    -4352 1920 1408    -4160 1856 1344    
-4032 1728 1280    -3968 1728 1408    -3712 1536 1280    -3584 1408 1600    -3648 1408 1856    -3456 1216 2176    -3200 1152 2048    -3008 1216 2112    
-2880 1344 2048    -2752 1472 2304    -2496 1664 2112    -2240 1792 2048    -2112 1856 2176    -2048 2112 2176    -1984 2112 2176    -1664 2112 2304    
-1408 2048 2432    -960 2048 2368    -576 2048 2496    -256 2048 2560    -64 2112 2688    256 2304 2752    384 2368 2752    576 2560 2752    
768 2560 2752    960 2752 2752    1024 3200 2752    1152 3584 2752    1408 3840 2752    1728 3968 2688    1984 4096 2560    2176 4288 2688    
2432 4480 2688    2624 4544 2432    2624 4544 2368    2816 4544 2496    2944 4608 2432    3200 4608 2304    3392 4672 2176    3456 5056 1856    
3584 5376 1600    3520 5440 1472    3584 5376 1280    3520 5120 768    3456 4928 320    3200 4928 0    3008 4928 -320    2752 4736 -256    
2560 4672 -384    2560 4480 -384    2496 4352 -704    2304 4224 -832    2176 3968 -1152    2048 3840 -1472    1664 3840 -1792    1024 3904 -2112    
576 3712 -2368    512 3456 -2496    576 3200 -3008    1088 3072 -3584    1728 2880 -4608    2432 2368 -5376    3072 1920 -6336    3392 1728 -7104    
3392 1728 -7680    3648 1792 -8000    3776 1920 -8384    3776 2112 -8640    3712 2240 -8768    3520 1920 -8448    3200 1408 -8320    2624 768 -7808    
2112 192 -7488    1856 -192 -7296    1664 -192 -7104    1344 64 -6912    1088 320 -6656    1152 704 -5952    1088 960 -5632    1152 1024 -5248    
1344 768 -4992    1408 384 -4864    1472 64 -4800    1472 0 -4992    1408 0 -5248    1344 64 -5440    1280 192 -5504    1280 320 -5248    
