384 3648 64    384 3712 128    320 3712 128    320 3776 128    256 3776 192    256 3840 192    256 3776 128    256 3840 128    
320 3776 256    256 3840 256    320 3840 192    320 3712 256    320 3648 256    448 3648 256    320 3648 256    448 3776 256    
384 3584 192    320 3776 192    256 3840 192    -16384 16398 1    256 3840 320    192 3840 256    192 3712 320    256 3712 256    
128 3712 256    128 1216 128    192 3008 704    192 3392 640    192 3456 512    64 3200 -192    0 3264 192    64 3648 320    
0 3712 256    64 3648 -64    320 3456 -128    384 3456 -128    384 3456 -192    256 3520 -64    192 3520 -128    192 3776 -64    
0 4288 0    -192 4032 0    -128 3968 0    -128 4032 128    -128 3904 256    -64 3840 128    -64 3648 64    64 3712 0    
64 3648 192    192 3776 128    256 3648 64    384 3712 192    256 3648 384    320 3584 320    384 3584 384    384 3456 384    
448 3392 384    448 3264 384    512 3200 512    512 2816 320    640 3200 320    640 3200 0    640 3264 -320    1024 3456 -512    
1216 3648 -576    1088 3776 -512    1152 3968 -448    1088 3904 -512    1088 3968 -640    1088 3840 -704    1152 3776 -768    1280 3712 -704    
1536 3584 -640    1664 3328 -896    1920 3456 -960    2048 3200 -768    2048 3136 -704    2176 3264 -704    2048 3264 -640    1984 3264 -576    
1920 3392 -576    1856 3456 -576    1792 3584 -576    1728 3648 -576    1664 3712 -704    1600 3840 -768    1600 3904 -768    1600 4032 -704    
1472 3968 -640    1344 3968 -512    1344 3904 -512    1344 3904 -640    1344 3904 -640    1344 3968 -704    1280 4032 -640    1280 3968 -640    
1152 3904 -640    1088 3968 -640    1088 3904 -704    1216 3904 -640    1280 3840 -576    1472 3712 -576    1536 3584 -576    1536 3456 -704    
1600 3392 -640    1536 3328 -640    1536 3328 -576    1536 3456 -512    1536 3392 -448    1408 3392 -448    1408 3456 -512    1408 3456 -448    
1408 3456 -320    1344 3520 -320    1280 3584 -320    1152 3584 -256    16388 14 16639    1088 3648 -320    1088 3584 -384    1088 3584 -384    
1024 3584 -448    1152 3584 -512    1152 3584 -512    1152 3584 -640    1152 3520 -448    1088 3456 -448    1088 3456 -448    1152 3520 -512    
1088 3520 -512    1152 3584 -640    1152 3648 -512    1152 3648 -512    1216 3584 -512    1280 3584 -512    1216 3520 -512    1216 3584 -512    
1152 3648 -448    1088 3520 -512    1152 3520 -512    1152 3520 -448    1152 3584 -384    1088 3584 -512    1088 3584 -448    1024 3584 -448    
1024 3584 -384    1088 3584 -384    1152 3584 -448    1088 3584 -448    1088 3520 -384    1152 3520 -448    1088 3584 -448    1152 3584 -512    
1088 3584 -448    1088 3584 -512    1088 3584 -384    1088 3520 -384    1024 3584 -512    1088 3648 -512    1088 3584 -384    1088 3584 -384    
1088 3648 -384    1088 3584 -384    1152 3520 -384    1152 3584 -384    1152 3584 -384    1088 3520 -320    1088 3584 -384    1152 3648 -384    
